PR,PK,Longitude,Latitude
74.0,970.0,20519294.121425,5529264.038072
74.0,975.0,20519326.022699,5529224.333217
74.0,980.0,20519358.41779,5529187.299791
74.0,985.0,20519387.16049,5529147.027784
74.0,990.0,20519417.270029,5529106.427185
74.0,995.0,20519448.666944,5529067.611054
74.0,1000.0,20519479.849555,5529028.571874
74.0,1005.0,20519511.319631,5528989.645145
74.0,1010.0,20519539.993474,5528949.151247
74.0,1015.0,20519570.244115,5528909.886746
74.0,1020.0,20519603.302452,5528869.297924
74.0,1025.0,20519634.555525,5528831.260943
74.0,1030.0,20519664.448227,5528791.995663
74.0,1035.0,20519695.134651,5528751.954863
74.0,1040.0,20519725.605139,5528712.135902
74.0,1045.0,20519755.929905,5528672.983942
74.0,1050.0,20519787.479994,5528632.946842
74.0,1055.0,20519818.449521,5528594.5762
74.0,1060.0,20519848.847069,5528555.536258
74.0,1065.0,20519882.478384,5528516.619674
74.0,900.0,20518864.894038,5529818.636357
74.0,895.0,20518832.772015,5529855.467043
74.0,905.0,20518897.701381,5529778.725489
74.0,910.0,20518924.645699,5529737.221185
74.0,915.0,20518956.826097,5529698.293723
74.0,920.0,20518987.501739,5529658.360086
74.0,925.0,20519018.032174,5529618.982248
74.0,930.0,20519049.426396,5529579.273962
74.0,935.0,20519079.022531,5529540.226841
74.0,940.0,20519109.268096,5529500.514825
74.0,945.0,20519142.600014,5529461.815021
74.0,950.0,20519172.562265,5529421.212531
74.0,955.0,20519203.094991,5529381.946977
74.0,960.0,20519232.980319,5529343.012961
74.0,965.0,20519265.095032,5529303.642193
24.0,1440.0,20518248.896622,5522481.220106
22.0,1410.0,20517904.04209,5522600.186902
22.0,1400.0,20517843.507806,5522675.063706
22.0,1395.0,20517814.029118,5522713.561621
22.0,1390.0,20517783.609413,5522753.947435
22.0,1385.0,20517752.976918,5522793.554135
22.0,1380.0,20517722.922927,5522832.38433
22.0,1375.0,20517690.351237,5522871.317645
22.0,1370.0,20517661.447272,5522910.708092
22.0,1365.0,20517631.034549,5522949.648848
22.0,1360.0,20517598.825353,5522988.138997
22.0,1355.0,20517568.693629,5523029.416775
22.0,1350.0,20517538.999401,5523069.027752
22.0,1345.0,20517505.857889,5523107.070514
22.0,1330.0,20517414.912907,5523224.675459
22.0,1325.0,20517382.917291,5523264.835983
22.0,1320.0,20517353.083646,5523303.891402
22.0,1315.0,20517320.801239,5523344.051369
22.0,1310.0,20517291.830915,5523383.332357
20.0,1310.0,20517132.970643,5523259.919352
20.0,1315.0,20517164.459124,5523220.31187
20.0,1320.0,20517197.736772,5523183.713397
20.0,1325.0,20517226.21177,5523141.983351
20.0,1330.0,20517258.26817,5523105.158891
20.0,1335.0,20517288.537028,5523065.103318
20.0,1340.0,20517318.238017,5523022.821564
20.0,1345.0,20517350.297184,5522985.552754
20.0,1350.0,20517380.494739,5522945.719921
20.0,1355.0,20517411.557045,5522905.556374
20.0,1360.0,20517441.394375,5522866.167622
20.0,1365.0,20517473.604606,5522827.23164
20.0,1370.0,20517502.365207,5522787.394826
20.0,1375.0,20517533.570666,5522748.011031
20.0,1380.0,20517566.861701,5522708.967899
20.0,1385.0,20517595.047742,5522669.240931
24.0,1435.0,20518217.463676,5522522.044957
20.0,1395.0,20517657.894924,5522590.031119
20.0,1400.0,20517691.751658,5522554.549851
20.0,1405.0,20517718.946155,5522510.593676
