PR,PK,Longitude,Latitude
100.0,915.0,20521005.078641,5531298.806406
100.0,910.0,20520973.749472,5531339.059811
100.0,905.0,20520944.507532,5531378.320482
100.0,945.0,20521190.74964,5531061.173696
100.0,940.0,20521158.119577,5531102.755636
100.0,935.0,20521129.021294,5531141.348504
100.0,930.0,20521096.181956,5531181.595258
100.0,925.0,20521067.659139,5531220.190717
100.0,985.0,20521437.435669,5530748.044128
100.0,980.0,20521403.891061,5530783.83707
100.0,975.0,20521374.126461,5530826.541403
100.0,1040.0,20521775.519605,5530312.499612
100.0,1035.0,20521743.963917,5530352.636401
100.0,1030.0,20521714.06452,5530391.890242
100.0,1025.0,20521682.65836,5530430.804484
100.0,970.0,20521344.377798,5530865.352979
100.0,1020.0,20521652.108844,5530471.168326
100.0,1015.0,20521621.3501,5530510.085533
100.0,1010.0,20521591.959323,5530548.341045
100.0,1005.0,20521560.341684,5530586.699007
100.0,1000.0,20521531.227052,5530627.959116
100.0,995.0,20521499.616541,5530664.760269
100.0,990.0,20521469.498038,5530705.794238
100.0,965.0,20521311.539149,5530904.597372
100.0,960.0,20521282.642732,5530946.082145
100.0,955.0,20521249.957918,5530982.991731
100.0,950.0,20521221.716309,5531022.588541
100.0,920.0,20521036.188448,5531259.664606
100.0,900.0,20520913.256294,5531417.239803
100.0,895.0,20520882.005075,5531456.270534
100.0,1065.0,20521927.607505,5530117.245386
100.0,1060.0,20521895.709387,5530152.708311
100.0,1055.0,20521871.050639,5530192.316324
100.0,1050.0,20521837.474842,5530234.223995
100.0,1045.0,20521805.203925,5530273.356466
98.0,950.0,20521062.812629,5530899.167291
98.0,955.0,20521094.859797,5530859.807056
98.0,960.0,20521124.826108,5530819.993915
98.0,965.0,20521155.363563,5530781.184244
98.0,970.0,20521186.335954,5530741.486635
98.0,895.0,20520723.321196,5531333.082506
98.0,900.0,20520754.934522,5531293.162438
98.0,905.0,20520784.963874,5531254.348707
98.0,910.0,20520816.868002,5531213.762758
98.0,915.0,20520845.819566,5531175.278873
98.0,920.0,20520878.796387,5531136.14342
98.0,925.0,20520907.676548,5531097.770817
98.0,930.0,20520939.585124,5531056.518243
98.0,975.0,20521217.521659,5530702.457415
98.0,980.0,20521248.709135,5530663.094698
98.0,985.0,20521278.531801,5530623.837983
98.0,990.0,20521308.931332,5530584.138809
98.0,995.0,20521338.82008,5530546.551111
98.0,1000.0,20521369.650167,5530507.187673
98.0,1005.0,20521400.913928,5530467.269998
98.0,1010.0,20521430.736563,5530428.570264
98.0,1015.0,20521461.928506,5530388.875112
98.0,1020.0,20521493.619758,5530350.18319
98.0,1025.0,20521522.944854,5530310.480923
98.0,1030.0,20521554.569627,5530270.676812
98.0,1035.0,20521585.329682,5530231.648008
98.0,1040.0,20521616.665784,5530192.399241
98.0,1045.0,20521646.926548,5530152.701412
98.0,1050.0,20521677.259596,5530113.004043
98.0,1055.0,20521707.091107,5530073.082363
98.0,1060.0,20521738.852858,5530035.615673
98.0,1065.0,20521769.119902,5529994.806273
98.0,935.0,20520970.622704,5531017.709475
98.0,940.0,20521001.019496,5530977.563644
98.0,945.0,20521031.557349,5530938.197132
92.0,990.0,20520837.476915,5530215.014764
92.0,985.0,20520805.709601,5530255.823553
92.0,980.0,20520774.883531,5530294.856521
92.0,975.0,20520743.483213,5530333.887447
92.0,970.0,20520711.004949,5530373.136857
92.0,965.0,20520681.684927,5530413.177214
92.0,960.0,20520651.43362,5530452.658011
92.0,955.0,20520620.892857,5530492.805235
92.0,950.0,20520588.636204,5530530.943952
92.0,945.0,20520558.743276,5530570.982782
92.0,940.0,20520527.704864,5530610.127577
92.0,935.0,20520496.951262,5530650.052233
92.0,930.0,20520467.133199,5530689.646944
92.0,925.0,20520435.021201,5530728.120814
92.0,920.0,20520403.627124,5530766.820058
92.0,915.0,20520374.883204,5530807.642867
92.0,910.0,20520342.340323,5530846.449338
92.0,905.0,20520311.376471,5530885.706888
92.0,900.0,20520280.9856,5530925.522918
92.0,895.0,20520248.160564,5530963.32784
90.0,895.0,20520093.397027,5530840.50714
90.0,900.0,20520125.793645,5530801.921083
90.0,905.0,20520155.541746,5530760.989495
90.0,910.0,20520186.576577,5530721.842553
90.0,915.0,20520217.182959,5530682.138038
90.0,920.0,20520247.715024,5530643.212012
90.0,925.0,20520278.967118,5530603.955193
90.0,930.0,20520309.434544,5530563.360853
90.0,935.0,20520340.250228,5530525.771159
90.0,940.0,20520371.223084,5530484.73417
90.0,945.0,20520402.043448,5530446.143794
90.0,950.0,20520433.082297,5530406.887058
90.0,955.0,20520463.189422,5530367.18204
90.0,960.0,20520493.944793,5530327.145979
90.0,965.0,20520524.911457,5530288.334407
90.0,970.0,20520556.027347,5530248.188849
90.0,975.0,20520586.708409,5530209.154083
90.0,980.0,20520618.107022,5530170.45593
90.0,985.0,20520648.577303,5530130.419656
90.0,990.0,20520679.834849,5530091.276407
96.0,990.0,20521150.944302,5530462.275942
96.0,985.0,20521122.704231,5530500.983435
96.0,980.0,20521090.366977,5530540.453587
96.0,975.0,20521061.193479,5530579.268966
96.0,970.0,20521028.495801,5530619.294216
96.0,965.0,20520998.890875,5530658.441928
96.0,960.0,20520965.977775,5530698.689171
96.0,955.0,20520937.167782,5530736.83927
96.0,950.0,20520904.758002,5530777.200076
96.0,945.0,20520875.728182,5530816.684385
96.0,940.0,20520844.25442,5530856.715507
96.0,935.0,20520814.432764,5530896.864442
96.0,930.0,20520781.886797,5530935.779493
96.0,925.0,20520750.135705,5530973.58553
96.0,920.0,20520720.098194,5531014.179065
96.0,915.0,20520689.419833,5531053.435562
96.0,910.0,20520658.4529,5531093.136035
96.0,905.0,20520627.057174,5531132.390128
96.0,900.0,20520597.244624,5531170.983105
96.0,895.0,20520565.056741,5531211.013118
94.0,895.0,20520408.658512,5531087.398354
94.0,900.0,20520440.339356,5531048.366539
94.0,905.0,20520470.51355,5531008.995484
94.0,910.0,20520501.193104,5530969.070387
94.0,915.0,20520532.086045,5530929.813648
94.0,920.0,20520564.486572,5530890.896541
94.0,925.0,20520593.947665,5530850.633622
94.0,930.0,20520624.338292,5530811.597942
94.0,935.0,20520655.523774,5530771.453208
94.0,940.0,20520686.487373,5530733.087449
94.0,945.0,20520716.522316,5530693.494778
94.0,950.0,20520748.423193,5530654.46562
94.0,955.0,20520779.035841,5530614.319388
94.0,960.0,20520809.287191,5530574.839299
94.0,965.0,20520840.258618,5530535.028488
94.0,970.0,20520870.293629,5530495.992813
94.0,975.0,20520902.696166,5530457.85634
94.0,980.0,20520935.814049,5530420.612673
94.0,985.0,20520965.135498,5530380.684921
94.0,990.0,20520993.81259,5530340.309899
94.0,1060.0,20521422.663448,5529785.748634
94.0,1055.0,20521396.425546,5529825.46372
94.0,1050.0,20521370.200856,5529861.953375
94.0,1045.0,20521335.273866,5529900.855616
94.0,1040.0,20521307.667317,5529941.789208
94.0,1035.0,20521275.114701,5529980.033885
94.0,1030.0,20521244.931976,5530018.621812
94.0,1025.0,20521213.380324,5530058.316782
94.0,1020.0,20521182.907609,5530097.793734
94.0,1015.0,20521151.147487,5530135.931055
94.0,1010.0,20521116.912948,5530182.289709
94.0,1005.0,20521090.270015,5530216.443292
96.0,995.0,20521182.627256,5530424.024412
96.0,1045.0,20521489.6591,5530028.270701
96.0,1005.0,20521244.934375,5530345.076045
96.0,1010.0,20521274.830149,5530305.930835
96.0,1035.0,20521426.84143,5530107.325436
92.0,1065.0,20521296.704636,5529626.192048
94.0,1000.0,20521055.97731,5530259.576493
92.0,1060.0,20521267.600562,5529664.00552
92.0,1055.0,20521237.843697,5529703.484987
92.0,1050.0,20521206.074741,5529743.179134
92.0,1045.0,20521175.387857,5529781.876681
92.0,1040.0,20521144.48063,5529821.908269
96.0,1015.0,20521305.378626,5530265.342414
96.0,1020.0,20521336.206524,5530226.868608
96.0,1050.0,20521519.058181,5529988.457489
92.0,1035.0,20521113.790701,5529861.607205
92.0,1030.0,20521082.529101,5529900.636705
92.0,1025.0,20521052.702177,5529940.339374
92.0,1020.0,20521021.373984,5529978.256687
92.0,1015.0,20520990.32838,5530017.510022
92.0,1010.0,20520959.784375,5530057.210403
92.0,1005.0,20520929.744563,5530096.690465
92.0,1000.0,20520898.555762,5530136.166225
92.0,995.0,20520868.153323,5530176.757499
96.0,1060.0,20521582.44662,5529911.074538
96.0,1055.0,20521550.176993,5529949.874841
96.0,1030.0,20521396.438812,5530146.912698
96.0,1025.0,20521367.255684,5530187.061121
96.0,1065.0,20521612.062551,5529871.262703
94.0,1065.0,20521453.917529,5529749.390537
94.0,995.0,20521023.852016,5530299.715235
90.0,1065.0,20521138.987298,5529501.550278
90.0,1060.0,20521109.023691,5529538.805077
90.0,1055.0,20521078.260586,5529578.503919
90.0,1050.0,20521047.639011,5529618.870858
90.0,1045.0,20521018.027648,5529658.240871
90.0,1040.0,20520986.764278,5529697.604595
90.0,1035.0,20520955.643752,5529737.30274
90.0,1030.0,20520925.244722,5529776.336507
90.0,1025.0,20520893.908272,5529816.367851
90.0,1020.0,20520863.008096,5529855.177564
90.0,1015.0,20520833.253962,5529894.992947
90.0,1010.0,20520801.778212,5529934.245691
96.0,1000.0,20521212.381543,5530384.099702
90.0,1005.0,20520771.166737,5529973.057047
90.0,1000.0,20520740.334168,5530013.424914
90.0,995.0,20520709.720153,5530053.126432
96.0,1040.0,20521458.532288,5530069.078226
86.0,895.0,20519778.666532,5530597.64084
86.0,900.0,20519809.782855,5530555.377666
86.0,910.0,20519870.920514,5530475.964288
86.0,915.0,20519901.66425,5530437.70447
86.0,920.0,20519932.41915,5530396.552943
86.0,925.0,20519963.885029,5530357.517564
86.0,930.0,20519994.63672,5530317.478659
86.0,935.0,20520025.387208,5530277.884836
86.0,940.0,20520055.776467,5530238.957208
86.0,945.0,20520088.248646,5530200.259993
86.0,950.0,20520118.502196,5530159.441337
86.0,955.0,20520148.099222,5530121.401085
86.0,960.0,20520179.432101,5530080.364363
86.0,965.0,20520208.823252,5530039.987886
86.0,970.0,20520240.215918,5530002.399805
86.0,975.0,20520271.689674,5529962.476427
86.0,980.0,20520306.952192,5529927.684031
86.0,985.0,20520333.048363,5529885.182451
86.0,990.0,20520364.02438,5529844.256678
84.0,990.0,20520204.416576,5529721.63729
84.0,985.0,20520176.247602,5529761.351003
84.0,980.0,20520144.917084,5529801.275467
86.0,1035.0,20520640.684103,5529492.052597
84.0,970.0,20520083.410245,5529880.23943
84.0,965.0,20520052.653349,5529920.83394
84.0,960.0,20520021.686363,5529960.093109
84.0,955.0,20519990.722725,5529998.573873
84.0,950.0,20519960.468843,5530039.504463
84.0,945.0,20519928.282752,5530078.537184
84.0,940.0,20519898.680053,5530118.469486
84.0,935.0,20519867.283874,5530157.839179
84.0,930.0,20519836.464092,5530196.8775
84.0,925.0,20519805.429652,5530235.803978
84.0,920.0,20519775.54342,5530275.179771
84.0,915.0,20519745.800071,5530314.889939
84.0,910.0,20519713.690234,5530353.590537
84.0,905.0,20519682.653911,5530393.518765
84.0,900.0,20519653.34128,5530433.675932
84.0,895.0,20519621.522588,5530471.710777
82.0,895.0,20519462.494676,5530348.225559
82.0,900.0,20519494.609186,5530307.743846
82.0,905.0,20519523.916453,5530268.920539
82.0,910.0,20519555.028998,5530227.65695
82.0,915.0,20519585.773498,5530188.950438
82.0,920.0,20519615.873107,5530149.908064
82.0,925.0,20519648.057311,5530110.651025
82.0,930.0,20519678.230461,5530071.386812
82.0,935.0,20519710.199656,5530032.240584
82.0,940.0,20519741.378246,5529993.314096
82.0,945.0,20519771.483343,5529953.382788
82.0,950.0,20519802.017069,5529914.231822
82.0,955.0,20519832.766766,5529875.081827
82.0,960.0,20519864.59579,5529835.602313
82.0,965.0,20519894.343869,5529795.559143
82.0,970.0,20519926.028887,5529756.413142
82.0,975.0,20519956.853464,5529716.930448
82.0,980.0,20519989.109608,5529679.010444
82.0,985.0,20520019.292204,5529638.524668
82.0,990.0,20520048.397556,5529598.035043
82.0,995.0,20520079.356405,5529561.556699
82.0,1000.0,20520110.757994,5529522.077041
82.0,1005.0,20520140.439442,5529481.590068
82.0,1010.0,20520169.90245,5529441.992261
82.0,1015.0,20520203.81384,5529404.19098
82.0,1020.0,20520232.13191,5529363.588159
82.0,1025.0,20520263.02946,5529324.997311
82.0,1030.0,20520294.144684,5529285.96255
82.0,1035.0,20520324.760764,5529246.03626
82.0,1040.0,20520354.511285,5529207.107914
82.0,1045.0,20520386.422441,5529166.964423
82.0,1050.0,20520416.53564,5529127.370429
82.0,1055.0,20520447.798086,5529088.00343
82.0,1060.0,20520477.334378,5529049.186175
82.0,1065.0,20520511.970203,5529011.055905
84.0,1065.0,20520668.435487,5529132.448596
84.0,1060.0,20520637.034802,5529170.03415
84.0,1055.0,20520606.557113,5529210.626574
84.0,1050.0,20520576.302247,5529249.44038
84.0,1045.0,20520547.048621,5529289.592916
84.0,1040.0,20520515.787874,5529328.62567
84.0,1035.0,20520482.587642,5529367.651214
84.0,1030.0,20520453.336199,5529407.581811
84.0,1025.0,20520421.428908,5529446.946335
84.0,1020.0,20520392.254414,5529485.765278
84.0,1015.0,20520360.272389,5529526.130929
84.0,1010.0,20520329.80678,5529564.611635
84.0,1005.0,20520299.620167,5529605.42935
84.0,1000.0,20520268.294126,5529643.684697
84.0,995.0,20520237.394574,5529683.276565
84.0,975.0,20520114.670089,5529839.758206
86.0,1000.0,20520425.526462,5529767.742891
