PR,PK,Longitude,Latitude
2,1045,20514083.5904204,5524240.74860948
2,1050,20514114.3731635,5524201.34819349
2,1055,20514145.1559066,5524161.9477775
2,1060,20514175.9386496,5524122.54736152
2,1065,20514206.7213926,5524083.14694553
2,1070,20514237.5041357,5524043.74652954
2,1075,20514268.2868787,5524004.34611356
2,1080,20514299.0696217,5523964.94569757
2,1085,20514329.8523647,5523925.54528159
2,1090,20514360.6351077,5523886.14486561
2,1095,20514391.4178507,5523846.74444964
2,1100,20514422.2005937,5523807.34403366
2,1105,20514452.9833367,5523767.94361769
2,1110,20514483.7660797,5523728.54320171
2,1115,20514514.5488227,5523689.14278574
2,1120,20514545.3315657,5523649.74236976
2,1125,20514576.1143087,5523610.34195379
2,1130,20514606.8970517,5523570.94153783
2,1135,20514637.6797947,5523531.54112186
2,1140,20514668.4625376,5523492.14070589
2,1145,20514699.2452806,5523452.74028993
2,1150,20514730.0280236,5523413.33987396
2,1155,20514760.8107666,5523373.939458
2,1160,20514791.5935095,5523334.53904204
2,1165,20514822.3762525,5523295.13862608
2,1170,20514853.1589954,5523255.73821012
2,1175,20514883.9417384,5523216.33779417
2,1180,20514914.7244813,5523176.93737821
2,1185,20514945.5072243,5523137.53696225
2,1190,20514976.2899672,5523098.1365463
2,1195,20515007.0727102,5523058.73613035
2,1200,20515037.8554531,5523019.3357144
2,1205,20515068.638196,5522979.93529845
2,1210,20515099.420939,5522940.5348825
2,1215,20515130.2036819,5522901.13446656
2,1220,20515160.9864248,5522861.73405061
2,1225,20515191.7691677,5522822.33363467
2,1230,20515222.5519107,5522782.93321872
2,1235,20515253.3346536,5522743.53280278
2,1240,20515284.1173965,5522704.13238684
2,1245,20515314.9001394,5522664.73197091
2,1250,20515345.6828823,5522625.33155496
2,1255,20515376.4656252,5522585.93113903
2,1260,20515407.2483681,5522546.5307231
2,1265,20515438.031111,5522507.13030717
2,1270,20515468.8138539,5522467.72989123
2,1275,20515499.5965968,5522428.3294753
2,1280,20515530.3793397,5522388.92905937
4,1045,20514241.192087,5524363.8795796
4,1050,20514271.9748301,5524324.4791636
4,1055,20514302.7575732,5524285.0787476
4,1060,20514333.5403162,5524245.6783316
4,1065,20514364.3230592,5524206.27791559
4,1070,20514395.1058022,5524166.8774996
4,1075,20514425.8885452,5524127.4770836
4,1080,20514456.6712882,5524088.07666761
4,1085,20514487.4540313,5524048.67625161
4,1090,20514518.2367743,5524009.27583562
4,1095,20514549.0195173,5523969.87541963
4,1100,20514579.8022603,5523930.47500364
4,1105,20514610.5850032,5523891.07458765
4,1110,20514641.3677462,5523851.67417166
4,1115,20514672.1504892,5523812.27375567
4,1120,20514702.9332322,5523772.87333969
4,1125,20514733.7159752,5523733.47292371
4,1130,20514764.4987182,5523694.07250773
4,1135,20514795.2814612,5523654.67209174
4,1140,20514826.0642041,5523615.27167576
4,1145,20514856.8469471,5523575.87125978
4,1150,20514887.6296901,5523536.47084381
4,1155,20514918.412433,5523497.07042783
4,1160,20514949.195176,5523457.67001186
4,1165,20514979.9779189,5523418.26959589
4,1170,20515010.7606619,5523378.86917992
4,1175,20515041.5434048,5523339.46876395
4,1180,20515072.3261478,5523300.06834797
4,1185,20515103.1088907,5523260.66793201
4,1190,20515133.8916337,5523221.26751604
4,1195,20515164.6743766,5523181.86710008
4,1200,20515195.4571195,5523142.46668411
4,1205,20515226.2398625,5523103.06626815
4,1210,20515257.0226054,5523063.66585219
4,1215,20515287.8053483,5523024.26543623
4,1220,20515318.5880912,5522984.86502028
4,1225,20515349.3708341,5522945.46460432
4,1230,20515380.1535771,5522906.06418836
4,1235,20515410.93632,5522866.66377241
4,1240,20515441.7190629,5522827.26335645
4,1245,20515472.5018058,5522787.8629405
4,1250,20515503.2845487,5522748.46252455
4,1255,20515534.0672916,5522709.06210861
4,1260,20515564.8500345,5522669.66169265
4,1265,20515595.6327773,5522630.26127671
4,1270,20515626.4155202,5522590.86086076
4,1275,20515657.1982631,5522551.46044482
4,1280,20515687.981006,5522512.06002888
4,1285,20515718.7637489,5522472.65961294
4,1290,20515749.5464918,5522433.259197
4,1295,20515780.3292347,5522393.85878106
6,1045,20514398.7937538,5524487.01054969
6,1050,20514429.5764968,5524447.61013368
6,1055,20514460.3592398,5524408.20971767
6,1060,20514491.1419828,5524368.80930165
6,1065,20514521.9247258,5524329.40888564
6,1070,20514552.7074688,5524290.00846963
6,1075,20514583.4902118,5524250.60805362
6,1080,20514614.2729548,5524211.20763761
6,1085,20514645.0556978,5524171.80722161
