PR,PK,Longitude,Latitude
2.0,1045.0,20514084.0,5524242.7
2.0,1050.0,20514114.9,5524201.4
2.0,1055.0,20514144.4,5524162.4
2.0,1060.0,20514176.1,5524122.2
2.0,1065.0,20514206.6,5524083.8
2.0,1070.0,20514236.6,5524044.3
2.0,1075.0,20514268.3,5524004.7
2.0,1080.0,20514302.3,5523966.3
2.0,1085.0,20514331.1,5523926.4
2.0,1090.0,20514360.0,5523886.0
2.0,1095.0,20514390.2,5523847.1
2.0,1100.0,20514422.0,5523807.7
2.0,1105.0,20514452.9,5523768.9
2.0,1110.0,20514483.0,5523729.3
2.0,1115.0,20514514.1,5523689.8
2.0,1120.0,20514544.4,5523650.9
2.0,1125.0,20514575.9,5523611.0
2.0,1130.0,20514606.5,5523571.2
2.0,1135.0,20514637.4,5523532.0
2.0,1140.0,20514667.5,5523491.9
2.0,1145.0,20514698.6,5523453.0
2.0,1150.0,20514729.0,5523413.0
2.0,1155.0,20514760.5,5523374.5
2.0,1160.0,20514792.0,5523334.6
2.0,1165.0,20514821.3,5523295.4
2.0,1170.0,20514852.6,5523256.0
2.0,1175.0,20514884.2,5523216.5
2.0,1180.0,20514915.0,5523178.1
2.0,1185.0,20514945.2,5523137.7
2.0,1190.0,20514976.1,5523098.9
2.0,1195.0,20515007.2,5523059.3
2.0,1200.0,20515037.6,5523019.7
2.0,1205.0,20515067.7,5522980.0
2.0,1210.0,20515099.9,5522940.6
2.0,1215.0,20515130.5,5522901.2
2.0,1220.0,20515161.5,5522862.5
2.0,1225.0,20515191.1,5522822.1
2.0,1230.0,20515224.4,5522782.7
2.0,1235.0,20515253.9,5522744.0
2.0,1240.0,20515284.9,5522704.6
2.0,1245.0,20515314.9,5522664.4
2.0,1250.0,20515344.1,5522622.6
2.0,1255.0,20515376.5,5522586.0
2.0,1260.0,20515406.4,5522546.6
2.0,1265.0,20515436.7,5522506.3
2.0,1270.0,20515468.7,5522467.7
2.0,1275.0,20515499.0,5522427.8
2.0,1280.0,20515531.3,5522388.7
